#domain,ioc,uri_path,ip
360.cn,Possible Cobalt Strike C2 Fronting Domain,/cr.css,23.108.57.45
360sec.cloud,Possible Cobalt Strike C2 Domain,/restapi/soa2/21881/json/gethotdestination,154.213.64.87
6.tcp.ngrok.io,Possible Cobalt Strike C2 Domain,/__utm.gif,150.158.75.102
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php,43.155.75.235
a.connectie-78d5566d11aea.nl,Possible Cobalt Strike C2 Domain,/58d84ae5-6a23-4b6a-9fe3-459fd28560c0/,37.97.162.219
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php,43.155.75.235
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d,146.70.79.23
accessdevsolutions.com,Possible Cobalt Strike C2 Domain,/ku.js,194.50.153.20
accessinfonet.com,Possible Cobalt Strike C2 Domain,/an,178.33.187.132
accessinfonet.com,Possible Cobalt Strike C2 Domain,/an,194.50.153.24
accessinfonet.com,Possible Cobalt Strike C2 Domain,/favicon,178.33.187.132
accessinfonet.com,Possible Cobalt Strike C2 Domain,/favicon,194.50.153.24
admin.yuexiu.life,Possible Cobalt Strike C2 Domain,/api/info,107.173.251.222
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/html.js,104.168.53.18
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/html.js,194.50.153.115
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/ku.js,104.168.53.18
adspirenetwork.com,Possible Cobalt Strike C2 Domain,/ku.js,194.50.153.115
ailbaba.shop,Possible Cobalt Strike C2 Domain,/preload,114.115.160.181
alisso-alisso-vbadupbpwk.cn-zhangjiakou.fcapp.run,Possible Cobalt Strike C2 Domain,/api/user,43.142.191.38
amazon.co.jp,Possible Cobalt Strike C2 Fronting Domain,/logo,172.93.193.10
antegivi.com,Possible Cobalt Strike C2 Domain,/updates.rss,216.219.86.212
api.0nedriveup.com,Possible Cobalt Strike C2 Domain,/activity,47.75.108.68
api.mmmllkps.tk,Possible Cobalt Strike C2 Domain,/pixel,54.199.248.162
api.tanksw.top,Possible Cobalt Strike C2 Domain,/pixel.gif,198.199.90.49
api.tanksw.top,Possible Cobalt Strike C2 Domain,/pixel.gif,2604:A880:0400:00D0:0000:0000:1739:8001
api.tanksw.top,Possible Cobalt Strike C2 Domain,/pixel.gif,2604:a880:400:d0:0:0:1739:8001
api.upgrad3.cc,Possible Cobalt Strike C2 Domain,/updates.rss,47.242.203.102
app.dbapp.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.97.120.142
as.sortx2.com,Possible Cobalt Strike C2 Domain,/ml,46.161.27.133
atlantisenergysystems.com,Possible Cobalt Strike C2 Domain,/tab_shop_active.css,45.92.127.141
atlantisenergysystems.com,Possible Cobalt Strike C2 Domain,/tab_shop_active.css,5.42.66.28
ausixo.xyz,Possible Cobalt Strike C2 Domain,/api/3,20.239.64.43
auth.webapi-telegram.com,Possible Cobalt Strike C2 Domain,/msdownload/update/v3/static/trustedr/ru/authrootstl.cab,185.105.1.233
baidu.moonsir.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php,150.158.13.117
bingobangobongobishbashbosh.xyz,Possible Cobalt Strike C2 Domain,/ki.js,45.66.151.195
binsmob.com,Possible Cobalt Strike C2 Domain,/pixel.gif,31.44.184.74
br.claughs.ga,Possible Cobalt Strike C2 Fronting Domain,/api/3,101.34.117.22
c1.unirorm.xyz,Possible Cobalt Strike C2 Domain,/dot.gif,124.220.29.161
c2c.updatenews.me,Possible Cobalt Strike C2 Domain,/activity,101.43.64.17
c2c.updatenews.me,Possible Cobalt Strike C2 Domain,/cx,101.43.64.17
c2c.updatenews.me,Possible Cobalt Strike C2 Domain,/match,101.43.64.17
cancel.soupandselfcare.com,Possible Cobalt Strike C2 Domain,/dpixel,18.212.255.134
